time_label,time_index,price_yuan_per_kwh,load_kw,pv_forecast_kw,load_kwh,pv_forecast_kwh
06:20:00,37,0.8758,4371.7919,672.7677,728.6319833333333,112.12795
06:30:00,38,0.8759,4392.953,844.2261,732.1588333333334,140.70435
06:40:00,39,0.8601,4384.5956,1039.6744,730.7659333333332,173.2790666666667
06:50:00,40,0.8442,4434.7757,1259.3375,739.1292833333333,209.88958333333335
07:00:00,41,0.8334,4523.4561,1508.6318,753.90935,251.43863333333334
07:10:00,42,0.8092,4524.0721,1791.4107,754.0120166666667,298.56845
07:20:00,43,0.7972,4545.8867,2085.4865,757.6477833333333,347.5810833333333
07:30:00,44,0.7644,4523.2418,2381.2611,753.8736333333333,396.87685000000005
07:40:00,45,0.6899,4383.3566,2683.1752,730.5594333333333,447.1958666666667
07:50:00,46,0.86,4910.4599,2986.3552,818.4099833333333,497.72586666666666
08:00:00,47,1.1617,5799.7327,3289.204,966.6221166666666,548.2006666666667
08:10:00,48,1.1683,5884.826,3593.3613,980.8043333333334,598.89355
08:20:00,49,1.0956,5748.0713,3890.7332,958.0118833333332,648.4555333333334
08:30:00,50,1.0849,5769.0581,4181.3417,961.5096833333333,696.8902833333333
08:40:00,51,1.061,5754.2105,4471.7657,959.0350833333333,745.2942833333333
08:50:00,52,1.043,5824.1807,4752.8272,970.6967833333333,792.1378666666666
09:00:00,53,1.036,5954.2601,5021.9074,992.3766833333334,836.9845666666666
09:10:00,54,1.0147,5958.9696,5285.4126,993.1616,880.9020999999999
09:20:00,55,0.9922,5929.5554,5543.1742,988.2592333333333,923.8623666666667
09:30:00,56,0.97,5923.7828,5788.4093,987.2971333333334,964.7348833333334
09:40:00,57,0.9422,5907.586,6012.1304,984.5976666666667,1002.0217333333334
09:50:00,58,0.9569,5899.1262,6216.1528,983.1877,1036.0254666666667
10:00:00,59,0.9977,5902.2196,6409.5941,983.7032666666668,1068.2656833333333
10:10,60,0.9919,5897.4793,6599.3808,982.9132166666667,1099.8968
10:20,61,0.9588,5886.7568,6766.7204,981.1261333333333,1127.7867333333334
10:30,62,0.9549,5873.4708,6914.5923,978.9118,1152.4320500000001
10:40,63,0.9839,5858.0308,7064.2053,976.3384666666667,1177.36755
10:50,64,0.799,5844.9948,7197.4315,974.1658000000001,1199.5719166666665
11:00,65,0.5025,5839.0587,7303.1142,973.1764499999999,1217.1857
11:10,66,0.4662,5838.7103,7387.6848,973.1183833333333,1231.2808
11:20,67,0.5007,5823.4378,7459.227,970.5729666666666,1243.2045
11:30,68,0.4827,5814.7932,7520.7191,969.1322,1253.4531833333333
11:40,69,0.4785,5832.3951,7568.2039,972.06585,1261.3673166666667
11:50,70,0.4662,5712.901,7592.1539,952.1501666666667,1265.3589833333333
12:00,71,0.4432,5519.4607,7601.0433,919.9101166666666,1266.8405500000001
12:10,72,0.4411,5494.7907,7612.316,915.7984499999999,1268.7193333333332
12:20,73,0.4551,5514.4524,7602.6524,919.0754000000001,1267.1087333333332
12:30,74,0.4463,5485.829,7554.1872,914.3048333333332,1259.0312000000001
12:40,75,0.4113,5462.3628,7472.7384,910.3937999999999,1245.4564
12:50,76,0.5682,5566.1066,7393.4172,927.6844333333333,1232.2362
13:00,77,0.8279,5725.7548,7312.7979,954.2924666666667,1218.79965
13:10,78,0.8636,5739.4957,7194.541,956.5826166666667,1199.0901666666666
13:20,79,0.8416,5714.6836,7053.1371,952.4472666666667,1175.52285
13:30,80,0.8618,5717.8505,6910.4064,952.9750833333333,1151.7344
13:40,81,0.8623,5708.2486,6772.4075,951.3747666666667,1128.7345833333334
13:50,82,0.9026,5696.9182,6607.36,949.4863666666666,1101.2266666666667
14:00,83,0.9754,5692.2983,6412.5085,948.7163833333334,1068.7514166666667
14:10,84,1.0002,5687.1291,6214.0158,947.85485,1035.6693
14:20,85,0.9978,5678.962,6000.7112,946.4936666666667,1000.1185333333333
14:30,86,1.0271,5669.4508,5766.9816,944.9084666666666,961.1636
14:40,87,1.0906,5664.1948,5521.5066,944.0324666666667,920.2511
14:50,88,0.9376,5672.7011,5268.781,945.4501833333334,878.1301666666667
15:00,89,0.6694,5682.2544,5009.7152,947.0423999999999,834.9525333333332
15:10,90,0.66,5669.0195,4743.4484,944.8365833333334,790.5747333333334
15:20,91,0.7217,5656.3651,4471.224,942.7275166666667,745.2040000000001
15:30,92,0.7308,5657.0867,4188.2025,942.8477833333333,698.03375
15:40,93,0.7534,5662.6008,3889.3931,943.7668,648.2321833333333
15:50,94,0.7823,5669.2596,3594.5946,944.8766,599.0991
16:00,95,0.8055,5673.4767,3303.8878,945.5794500000001,550.6479666666667
16:10,96,0.8271,5671.0146,2998.4247,945.1691000000001,499.73745
16:20,97,0.8519,5661.5926,2687.4131,943.5987666666666,447.90218333333337
16:30,98,0.8791,5665.8922,2383.1779,944.3153666666667,397.1963166666667
16:40,99,0.9024,5689.0372,2089.1246,948.1728666666667,348.18743333333333
16:50,100,0.9163,5603.6614,1791.0829,933.9435666666667,298.5138166666667
17:00,101,0.9264,5466.7124,1501.7283,911.1187333333334,250.28805
17:10,102,0.9462,5467.3939,1255.1723,911.2323166666666,209.19538333333333
17:20,103,0.9742,5464.727,1036.3323,910.7878333333333,172.72205
17:30,104,0.9862,5492.4458,836.7775,915.4076333333334,139.46291666666667
17:40,105,0.976,5621.7308,665.2313,936.9551333333334,110.87188333333334
17:50,106,1.0742,5091.2126,516.6758,848.5354333333333,86.11263333333333
18:00,107,1.2313,4208.5688,386.6731,701.4281333333333,64.44551666666666
18:10,108,1.2561,4122.7611,275.7933,687.12685,45.96555
18:20,109,1.2447,4255.9358,182.9526,709.3226333333333,30.492099999999997
18:30,110,1.2545,4225.9524,108.3414,704.3254000000001,18.0569
18:40,111,1.2522,4233.3384,54.3121,705.5563999999999,9.052016666666667
18:50,112,1.2881,4246.4625,18.6569,707.74375,3.1094833333333334
19:00,113,1.3466,4239.1795,0.2753,706.5299166666667,0.04588333333333333
19:10,114,1.3523,4244.6684,0.2296,707.4447333333333,0.038266666666666664
19:20,115,1.3445,4251.9187,0.6007,708.6531166666667,0.10011666666666667
19:30,116,1.3483,4256.6813,0.0,709.4468833333334,0.0
19:40,117,1.349,4267.3947,0.0,711.23245,0.0
19:50,118,1.3473,4269.975,0.0,711.6625,0.0
20:00,119,1.3482,4268.6702,0.0,711.4450333333333,0.0
20:10,120,1.3513,4282.2245,0.0,713.7040833333334,0.0
20:20,121,1.34,4291.7049,0.0,715.28415,0.0
20:30,122,1.3489,4291.3611,0.0,715.22685,0.0
20:40,123,1.3952,4293.9182,0.0,715.6530333333334,0.0
20:50,124,1.2226,4295.2135,0.0,715.8689166666667,0.0
21:00,125,0.9332,4302.0307,0.0,717.0051166666667,0.0
21:10,126,0.9068,4320.9618,0.0,720.1603,0.0
21:20,127,0.9371,4302.3292,0.0,717.0548666666667,0.0
21:30,128,0.9371,4322.6758,0.0,720.4459666666667,0.0
21:40,129,0.9871,4428.8083,0.0,738.1347166666666,0.0
21:50,130,0.7764,4030.1614,0.0,671.6935666666667,0.0
22:00,131,0.4209,3362.7419,0.0,560.4569833333334,0.0
22:10,132,0.3859,3309.3934,0.0,551.5655666666667,0.0
22:20,133,0.4368,3412.9563,0.0,568.82605,0.0
22:30,134,0.4198,3381.9313,0.0,563.6552166666667,0.0
22:40,135,0.4186,3386.5592,0.0,564.4265333333334,0.0
22:50,136,0.4241,3400.4846,0.0,566.7474333333333,0.0
23:00,137,0.4237,3399.2426,0.0,566.5404333333333,0.0
23:10,138,0.4248,3406.9809,0.0,567.83015,0.0
23:20,139,0.424,3416.1518,0.0,569.3586333333334,0.0
23:30,140,0.422,3421.9811,0.0,570.3301833333334,0.0
23:40,141,0.424,3429.6923,0.0,571.6153833333334,0.0
23:50,142,0.4271,3439.061,0.0,573.1768333333333,0.0
0:00+1,143,0.4276,3444.7259,0.0,574.1209833333334,0.0
